phoneme,prev_lexeme,lexeme,freq_unweighted,prob_unweighted,freq_weighted,prob_weighted
ee,κ,ι,3203,0.23929772132984684,157242,0.08565358782867322
ee,κ,η,6209,0.4638774747852073,906558,0.4938244570457405
ee,κ,υ,1645,0.12289876727680239,304858,0.1660636565184471
ee,κ,ει,539,0.040268957788569294,168951,0.09203176833951596
ee,κ,οι,1785,0.13335823683227493,298157,0.1624134568768759
ee,κ,υι,4,0.0002988419872992155,24,1.3073390747307698e-05
ee,τ,ι,18817,0.5421048082740342,2473022,0.35658862640918304
ee,τ,η,10980,0.31632623663968196,3983445,0.5743787078831195
ee,τ,υ,1928,0.055544351934545245,211304,0.03046823000958585
ee,τ,ει,1989,0.05730171991587681,167323,0.024126545876528287
ee,τ,οι,997,0.02872288323586183,100130,0.014437889821583269
ee,τ,υι,0,0.0,0,0.0
ee,^,ι,2124,0.21640346408558328,312869,0.10633632185337864
ee,^,η,946,0.09638308711156393,986107,0.3351530235781418
ee,^,υ,5090,0.5185939887926643,544788,0.18515977009501883
ee,^,ει,999,0.10178298522669384,691180,0.23491473728179607
ee,^,οι,584,0.059500764136525726,396086,0.13461969187620804
ee,^,υι,72,0.007335710646968925,11229,0.003816455315456593
ee,γ,ι,3850,0.5195681511470985,1082742,0.7274966539274024
ee,γ,η,1801,0.24304993252361673,227492,0.15285235891399115
ee,γ,υ,588,0.07935222672064778,53535,0.035970280425072165
ee,γ,ει,1011,0.13643724696356274,114890,0.07719483549148297
ee,γ,οι,157,0.02118758434547908,9649,0.006483183633539204
ee,γ,υι,3,0.0004048582995951417,4,2.68760851219368e-06
ee,μ,ι,5227,0.5082652664332944,736666,0.5732091154337862
ee,μ,η,2872,0.279268767016725,325385,0.25318617667358406
ee,μ,υ,561,0.05455075845974329,29959,0.023311476149680856
ee,μ,ει,817,0.0794437961882536,154704,0.12037713562736498
ee,μ,οι,805,0.07827693504472967,38444,0.02991376177770723
ee,μ,υι,2,0.00019447685725398678,3,2.334337876732954e-06
ee,ν,ι,7711,0.41889395914819644,607629,0.44212325452961887
ee,ν,η,6490,0.3525641025641026,445342,0.32403992307597157
ee,ν,υ,857,0.046555845284658844,26963,0.019618828778550916
ee,ν,ει,1653,0.08979791395045632,231541,0.16847395446406027
ee,ν,οι,1696,0.09213385484571925,62867,0.04574331153140082
ee,ν,υι,1,5.432420686657975e-05,1,7.27620397528128e-07
ee,π,ι,7233,0.4980033048746902,1164810,0.48401915283247254
ee,π,η,1475,0.10155604516662077,365613,0.1519249444326017
ee,π,υ,515,0.03545855136326081,19552,0.008124537457766076
ee,π,ει,1055,0.07263839162765079,368706,0.1532101937348148
ee,π,οι,4246,0.29234370696777745,487856,0.20272117154234487
ee,π,υι,0,0.0,0,0.0
ee,σ,ι,5837,0.24801359677076695,712011,0.1684060073657568
ee,σ,η,6102,0.2592734225621415,1893939,0.4479575528809163
ee,σ,υ,8281,0.35185893350329295,1104374,0.26120834647013924
ee,σ,ει,3261,0.138559592096877,512392,0.12119179468597377
ee,σ,οι,54,0.002294455066921606,5227,0.0012362985972138225
ee,σ,υι,0,0.0,0,0.0
ee,δ,ι,12179,0.7190765779063588,1272109,0.6504276502144387
ee,δ,η,2052,0.12115486804038496,353182,0.18058148976073268
ee,δ,υ,1715,0.1012576017004192,229799,0.11749592494953483
ee,δ,ει,902,0.05325618468441873,97173,0.049684426455820725
ee,δ,οι,85,0.0050185983350062,3537,0.0018084634247603542
ee,δ,υι,4,0.00023616933341205645,4,2.0451947127626284e-06
ee,ρ,ι,13933,0.6303098846414839,1767753,0.6869058920124764
ee,ρ,η,4281,0.19366659126894367,449256,0.17456997296678728
ee,ρ,υ,2328,0.10531553947070799,121440,0.04718863524824743
ee,ρ,ει,987,0.04465053155394707,213600,0.08299977346035614
ee,ρ,οι,571,0.025831259895951142,21432,0.008327954797763824
ee,ρ,υι,5,0.00022619316896629722,20,7.771514368947204e-06
ee,χ,ι,1369,0.31844615026750406,152166,0.22141738791332236
ee,χ,η,878,0.2042335426843452,144024,0.2095699293983435
ee,χ,υ,810,0.1884159106769016,90806,0.1321321933076847
ee,χ,ει,1076,0.2502907652942545,291520,0.4241919806296527
ee,χ,οι,165,0.03838101884159107,8654,0.012592471872835532
ee,χ,υι,1,0.00023261223540358222,66,9.603687816121391e-05
ee,ι,ι,96,0.14035087719298245,1761,0.03385041231762874
ee,ι,η,142,0.20760233918128654,1563,0.030044403436941352
ee,ι,υ,27,0.039473684210526314,137,0.002633450589162486
ee,ι,ει,122,0.1783625730994152,12032,0.23128231743651848
ee,ι,οι,297,0.4342105263157895,36530,0.702189416219749
ee,ι,υι,0,0.0,0,0.0
ee,ο,ι,0,0.0,0,0.0
ee,ο,η,963,0.6858974358974359,78801,0.8447157696142014
ee,ο,υ,0,0.0,0,0.0
ee,ο,ει,310,0.2207977207977208,8466,0.09075219483958108
