phoneme,lexeme,freq_unweighted,prob_unweighted,freq_weighted,prob_weighted
ee,ι,97527,0.356207061539192,11722040,0.30274881660535174
ee,η,62269,0.22743094235426034,11916927,0.3077822244952555
ee,υ,79264,0.2895033839433441,9664158,0.24959925047066406
ee,ει,22038,0.08049146618065472,3818880,0.0986314157568005
ee,οι,12491,0.04562205753982023,1584112,0.04091335922504419
ee,υι,204,0.0007450884427286308,12581,0.00032493344688398355
eh,ε,132066,0.9187519565897945,15495461,0.8373855843510233
eh,αι,11679,0.08124804341020557,3009110,0.1626144156489767
oh,ο,142850,0.7826196528751753,19062194,0.7709299985537627
oh,ω,39678,0.21738034712482468,5664038,0.22907000144623735
